date,F_BP,F_EP,F_DY
1992-04-30,,,-0.02164121887030443
1992-05-29,,,0.06844577815964435
1992-06-30,,,0.0017326088033582723
1992-07-31,,,-0.0021623898651950794
1992-11-30,,,0.02334027804696691
1993-01-29,,,0.01955962749949102
1993-02-26,,,-0.029965309056706017
1993-03-31,,,0.025249593885028402
1993-04-30,,,-0.04887277063606315
1993-05-28,,,0.039422066947687996
1993-06-30,,,-0.005800844725338306
1993-07-30,,,-0.0035540843590283894
1993-08-31,,,0.02345515198760652
1993-09-30,,,-0.02266921695515175
1993-10-29,,,0.031149298674100906
1993-11-30,,,-0.010120544983347034
1993-12-31,,,-0.022164050821030543
1994-01-31,,,-0.013855699647789018
1994-02-28,,,-0.012191289838352007
1994-03-31,,,0.05705709290859025
1994-04-29,,,0.014970832685375248
1994-05-31,,,-0.02743297372380319
1994-06-30,,,0.011617205297832042
1994-07-29,,,0.016526457649779593
1994-08-31,,,0.022900886692486612
1994-09-30,,,-0.020485060757835245
1994-10-31,,,-0.018613199480071656
1994-11-30,,,0.02198750007906974
1994-12-30,,,0.021201371362969693
1995-01-31,,,-0.007914151159235966
1995-02-28,,,0.0025598468939822747
1995-03-31,,,0.002954407032896009
1995-04-28,,,0.04440645123434046
1995-05-31,,,-0.03496438583236958
1995-06-30,,,-0.027265309864204685
1995-07-31,,,0.006849396407286085
1995-08-31,,,0.06637921840955435
1995-09-29,,,0.017585389113378584
1995-10-31,,,0.026052334074913565
1995-11-30,,,0.05588870294370214
1995-12-29,,,0.005526845449973717
1996-01-31,,,-0.029301380019576165
1996-02-29,,,0.0007252273146139115
1996-03-29,,,-0.05493666618871232
1996-04-30,,,-0.007253552183838181
1996-05-31,,,0.03465151658520683
1996-06-28,,,0.01942233107126709
1996-07-31,,,-0.01909997608890233
1996-08-30,,,-0.0015235973749788828
1996-09-30,,,0.006060127490245183
1996-10-31,,,0.0004977959854075009
1996-11-29,,,0.03907226098138235
1996-12-31,,,0.018018879437167498
1997-01-31,,,0.01786085885641288
1997-02-28,,,-0.010120280598010414
1997-03-31,,,-0.06267379462795421
1997-04-30,,,0.002655931552334345
1997-05-30,,,0.040118971153039376
1997-06-30,,,-0.02348058183485824
1997-07-31,,,-0.007379060524766397
1997-08-29,,,0.04749061606886882
1997-09-30,,,0.020518008872848756
1997-10-31,,,0.040592940661747734
1997-11-28,,,0.03623765934350122
1997-12-31,,,-0.027117237438885774
1998-01-30,,,-0.06912345040172083
1998-02-27,,,0.004715282349630201
1998-03-31,,,-0.07071911157370506
