date,F_Momentum,long_ret,short_ret,n_long,n_short,n_universe
1963-02-28,0.033071076207125814,0.010298658818329995,-0.022772417388795818,3,3,18
1963-03-31,-0.020764752316725463,0.033034341921129896,0.05379909423785536,3,3,18
1963-04-30,0.04187821515061252,0.015078035904014797,-0.026800179246597722,3,3,18
1963-05-31,0.00013135115790900015,-0.028774410119765708,-0.028905761277674708,3,3,18
1963-06-30,0.08250200172487909,0.07001897514412163,-0.01248302658075747,3,3,18
1963-07-31,0.0975539704441562,0.11886556016505778,0.02131158972090158,3,3,18
1963-08-31,-0.02261353397595024,-0.04636256462460575,-0.023749030648655512,3,3,18
1963-09-30,0.1350877780448306,0.12437540668181053,-0.010712371363020065,3,3,18
1963-10-31,-0.0841568037730621,-0.0030708376254488337,0.08108596614761326,3,3,18
1963-11-30,0.05026406562091723,0.008181188868851516,-0.042082876752065713,3,3,18
1963-12-31,-0.035847431844949436,-0.010664992573723933,0.025182439271225505,3,3,18
1964-01-31,-0.007464933417301162,0.016734543432059157,0.02419947684936032,3,3,18
1964-02-29,0.05128869853891612,0.048125732205622995,-0.0031629663332931233,3,3,18
1964-03-31,-0.02560849704730765,0.025020390993748125,0.050628888041055774,3,3,18
1964-04-30,0.10356283332659758,0.07691304088836211,-0.02664979243823547,3,3,18
1964-05-31,0.009173551484951825,0.01736692493434683,0.008193373449395006,3,3,18
1964-06-30,-0.018311796366042778,0.003943483341290725,0.022255279707333504,3,3,18
1964-07-31,-0.009597340181361286,-0.015018664841282059,-0.005421324659920772,3,3,18
1964-08-31,0.10772329196315444,0.14506402081438527,0.03734072885123083,3,3,18
1964-09-30,-0.051706255625749896,-0.051526135225450874,0.000180120400299022,3,3,18
1964-10-31,0.00030659469819147023,-0.03750160854133858,-0.03780820323953005,3,3,18
1964-11-30,0.032668618366598096,0.029754185693767938,-0.0029144326728301564,3,3,18
1964-12-31,-0.04212207740417212,0.023581921733497196,0.06570399913766932,3,3,18
1965-01-31,-0.01004235198362417,0.02645599407127504,0.03649834605489921,3,3,18
