date,sp500_ret
1976-02-29,-0.019470941095486083
1976-03-31,0.03068899809447445
1976-04-30,-0.01099542668093767
1976-05-31,-0.014364423455332287
1976-06-30,0.04092633260131828
1976-07-31,-0.008055235903336455
1976-08-31,-0.005123743232791744
1976-09-30,0.02264114274608886
1976-10-31,-0.022234891676167767
1976-11-30,-0.007774538386782992
1976-12-31,0.05249755142017709
1977-01-31,-0.050530429927413745
1977-02-28,-0.02166029599137409
1977-03-31,-0.014025245441794398
1977-04-30,0.00020321072952733665
1977-05-31,-0.023567655424623357
1977-06-30,0.045359966708281796
1977-07-31,-0.016222133757961776
1977-08-31,-0.021041982802224912
1977-09-30,-0.002480107471323878
1977-10-31,-0.043406194965295186
1977-11-30,0.0269655620532816
1977-12-31,0.002847200253085491
1978-01-31,-0.06151419558359594
1978-02-28,-0.024761904761903875
1978-03-31,0.024931066176469896
1978-04-30,0.08541643313529934
1978-05-31,0.0042342249302906865
1978-06-30,-0.017585355820649462
1978-07-31,0.0539097665654773
1978-08-31,0.02592371871275323
1978-09-30,-0.007261109497530782
1978-10-31,-0.0915740198946744
1978-11-30,0.016639828234032095
1978-12-31,0.014889123548047056
1979-01-31,0.03974612423265067
1979-02-28,-0.03652556789752759
1979-03-31,0.05515164104694659
1979-04-30,0.0016733930504977401
1979-05-31,-0.02633647798742078
1979-06-30,0.03865563181267695
1979-07-31,0.008745505781751595
1979-08-31,0.05307773817551342
1979-09-30,2.220446049250313e-16
1979-10-31,-0.0686059275521399
1979-11-30,0.04262423885287814
1979-12-31,0.01676714393368539
1980-01-31,0.05762460626273902
1980-02-29,-0.004379817799578967
1980-03-31,-0.10179482667605066
1980-04-30,0.041140170437849566
1980-05-31,0.04657070279424169
1980-06-30,0.026968716289104577
1980-07-31,0.06503851540616257
1980-08-31,0.005835456562834462
1980-09-30,0.025167511031215728
1980-10-31,0.016021042563368004
1980-11-30,0.10237702988938602
1980-12-31,-0.03387418161115774
1981-01-31,-0.04574248674130754
1981-02-28,0.013276727132381927
1981-03-31,0.03603260455549617
1981-04-30,-0.023455882352940716
1981-05-31,-0.0016565017694442075
1981-06-30,-0.010408024737913468
1981-07-31,-0.0022101973934915975
1981-08-31,-0.06209899175068678
1981-09-30,-0.05383174525612733
1981-10-31,0.04914787398863907
1981-11-30,0.03659036836491936
1981-12-31,-0.03007518796992481
1982-01-31,-0.017543859649122084
1982-02-28,-0.06054817275747448
1982-03-31,-0.010167093979311814
1982-04-30,0.04001429081815
1982-05-31,-0.03916180006870418
1982-06-30,-0.020289595995708787
1982-07-31,-0.022990603047166602
1982-08-31,0.11597721542627704
1982-09-30,0.00761442557108305
1982-10-31,0.11044676963959499
1982-11-30,0.03597068501346157
1982-12-31,0.015231357828629388
1983-01-31,0.033134243458476265
1983-02-28,0.018995182381280618
1983-03-31,0.03309469134134857
1983-04-30,0.07498692468619295
1983-05-31,-0.012406495165115494
1983-06-30,0.032329576944393645
1983-07-31,-0.030303030303029166
1983-08-31,0.01131889763779581
1983-09-30,0.010158150851582004
1983-10-31,-0.01517432408020647
1983-11-30,0.01742586365026022
1983-12-31,-0.008834134615384293
1984-01-31,-0.009216031043472683
1984-02-29,-0.03885931093568229
1984-03-31,0.01349802623201346
1984-04-30,0.005465510742556301
1984-05-31,-0.05935645110902765
1984-06-30,0.017469279309199948
1984-07-31,-0.016451233842537882
1984-08-31,0.10633213859020385
1984-09-30,-0.003479721622269838
1984-10-31,-6.020469596601519e-05
1984-11-30,-0.015112288518271733
1984-12-31,0.02237437339528081
1985-01-31,0.07408514709399694
1985-02-28,0.008628848187942184
1985-03-31,-0.0028700739595979297
1985-04-30,-0.004594265471050796
1985-05-31,0.054051048212201636
1985-06-30,0.01213400158269673
1985-07-31,-0.004847537138389146
1985-08-31,-0.011994552692226268
1985-09-30,-0.03472406298043684
1985-10-31,0.042508787346221544
1985-11-30,0.06506163734063897
1985-12-31,0.04506108720383861
1986-01-31,0.0023665278303679482
1986-02-28,0.07148928132968257
1986-03-31,0.05279393618896555
1986-04-30,-0.01414817915445743
1986-05-31,0.05022927989130466
1986-06-30,0.014109561350313937
1986-07-31,-0.05868282570562866
1986-08-31,0.07119261392512288
1986-09-30,-0.08543865891748648
1986-10-31,0.05472937921494103
1986-11-30,0.02147717025985707
1986-12-31,-0.02828825936923174
1987-01-31,0.13176694057893212
1987-02-28,0.036923525977817784
1987-03-31,0.026389866291344655
1987-04-30,-0.011450119986286755
1987-05-31,0.006034124011652597
1987-06-30,0.047914512237160034
1987-07-31,0.04822368421052725
1987-08-31,0.034958890353354866
1987-09-30,-0.024166161309884915
1987-10-31,-0.21763042600130456
1987-11-30,-0.08534890186266275
1987-12-31,0.07286148501954015
1988-01-31,0.040432248664401094
1988-02-29,0.04181740381997212
1988-03-31,-0.033343290269583936
1988-04-30,0.009424852253853366
1988-05-31,0.0031760609191446854
1988-06-30,0.043256026853830454
1988-07-31,-0.005411334552101965
1988-08-31,-0.03860010293360705
1988-09-30,0.03972927500764811
1988-10-31,0.02596447353903919
1988-11-30,-0.018890920170627656
1988-12-31,0.014687614176105868
1989-01-31,0.07111479187671033
1989-02-28,-0.028944095202876663
1989-03-31,0.020805926746521264
1989-04-30,0.05008987011225319
1989-05-31,0.03513757912414439
1989-06-30,-0.00792462248845549
1989-07-31,0.08837033775709169
1989-08-31,0.015516643550624432
1989-09-30,-0.006544316403470862
1989-10-31,-0.025175426034654946
1989-11-30,0.01654130920202168
1989-12-31,0.0214168039538718
1990-01-31,-0.06881720430107496
1990-02-28,0.008538957092500521
1990-03-31,0.024255024255024127
1990-04-30,-0.026887097723126807
1990-05-31,0.09198911729141535
1990-06-30,-0.008886305124159222
1990-07-31,-0.005223171889838452
1990-08-31,-0.09431419345781189
1990-09-30,-0.05118427579365059
1990-10-31,-0.006698251919620146
1990-11-30,0.059934210526316534
1990-12-31,0.024827757432810627
1991-01-31,0.04151777602810247
1991-02-28,0.06728113278864889
1991-03-31,0.022202849592722007
1991-04-30,0.00031981237674005847
1991-05-31,0.03860499813502494
1991-06-30,-0.04789267116435281
1991-07-31,0.04485935984481171
1991-08-31,0.019648797091359693
1991-09-30,-0.01914371696633954
1991-10-31,0.011834166967462867
1991-11-30,-0.04390368199770567
1991-12-31,0.11158786845050894
1992-01-31,-0.019923757462417258
1992-02-29,0.009589510250012534
1992-03-31,-0.021831839108310547
1992-04-30,0.027892689935347104
1992-05-31,0.0009639715628397827
1992-06-30,-0.01735885397857162
1992-07-31,0.03937374430342633
1992-08-31,-0.023997548384054324
1992-09-30,0.009105620365674305
1992-10-31,0.0021062709430357263
1992-11-30,0.03026177510270478
1992-12-31,0.01010780108960252
1993-01-31,0.007045970943977409
1993-02-28,0.010483613656046664
1993-03-31,0.018697279985566473
1993-04-30,-0.025416786591980434
1993-05-31,0.022717462913742104
1993-06-30,0.0007552366778480479
1993-07-31,-0.005327059241337584
1993-08-31,0.03443197286501709
1993-09-30,-0.009987919578910542
1993-10-31,0.019392935741835426
1993-11-30,-0.012910672680246038
1993-12-31,0.010091166980661814
1994-01-31,0.03250080394468924
1994-02-28,-0.030045057203961445
1994-03-31,-0.04574645716487524
1994-04-30,0.011530609955807236
1994-05-31,0.012397152425096314
1994-06-30,-0.026790799561884016
1994-07-31,0.03148985976995977
1994-08-31,0.03759874307161892
1994-09-30,-0.0268775368567159
1994-10-31,0.020833783579348175
1994-11-30,-0.03950460463639205
1994-12-31,0.012299146994644516
1995-01-31,0.024277658022513915
1995-02-28,0.036074146507376614
1995-03-31,0.02732924352161481
1995-04-30,0.027960296379142546
1995-05-31,0.0363117095063239
1995-06-30,0.02127859017622802
1995-07-31,0.03177604405690704
1995-08-31,-0.0003202505070629691
1995-09-30,0.04009752972164771
1995-10-31,-0.004979380914082898
1995-11-30,0.041049011177988204
1995-12-31,0.017443877298181087
1996-01-31,0.03261734287987328
1996-02-29,0.006933744221879756
1996-03-31,0.007916556063895852
1996-04-30,0.013431448489543474
1996-05-31,0.02285338673433568
1996-06-30,0.002256695361071648
1996-07-31,-0.045748027973695926
1996-08-31,0.01881396984139383
1996-09-30,0.054203285326463124
1996-10-31,0.026100999519881984
1996-11-30,0.07337615381343365
1996-12-31,-0.02150537634408556
1997-01-31,0.06131706131706127
1997-02-28,0.005927546555408503
1997-03-31,-0.04261399559950374
1997-04-30,0.058405536770922195
1997-05-31,0.05857688371976888
1997-06-30,0.043452633564389
1997-07-31,0.07814583003818587
1997-08-31,-0.057465603420271516
1997-09-30,0.05315352374175952
1997-10-31,-0.034477662359597594
1997-11-30,0.04458682294286187
1997-12-31,0.01573163073058459
1998-01-31,0.010150139628824606
1998-02-28,0.07044925939527524
1998-03-31,0.049945680141804116
1998-04-30,0.009076469253461061
1998-05-31,-0.01882626489768302
1998-06-30,0.0394383160776588
1998-07-31,-0.011615395470259582
1998-08-31,-0.14579671089615986
1998-09-30,0.062395537355842245
1998-10-31,0.08029419573062224
1998-11-30,0.05912603420499396
1998-12-31,0.05637530830246784
1999-01-31,0.04100941239637934
1999-02-28,-0.03228251695789408
1999-03-31,0.038794182487705164
1999-04-30,0.03794405964069525
1999-05-31,-0.02497048899994847
1999-06-30,0.05443833343575277
1999-07-31,-0.032046098593293326
1999-08-31,-0.006254139322053431
1999-09-30,-0.028551737717829484
1999-10-31,0.06253954518168547
1999-11-30,0.019061799280829517
1999-12-31,0.05784392077240441
2000-01-31,-0.05090352220520611
2000-02-29,-0.020108142219927183
2000-03-31,0.09671989578606843
2000-04-30,-0.030795753313135443
2000-05-31,-0.021915064965948083
2000-06-30,0.02393354920456181
2000-07-31,-0.016341262202667517
2000-08-31,0.06069910471544504
2000-09-30,-0.05348301002299427
2000-10-31,-0.004949495652657232
2000-11-30,-0.08006856023506248
2000-12-31,0.004053386060306696
2001-01-31,0.034636592238009856
2001-02-28,-0.09229075921845287
