date,F_12MRet,F_6MRet,F_3MRet,F_PriceMA,F_VWAP
1963-02-28,0.04900431389105483,0.019078798715011946,-0.01380918684847987,-0.006031185158431336,0.005615266265895073
1963-03-31,0.035541264287367515,0.08191153540431828,0.021413753356847587,0.015598232972158566,0.05464179018362373
1963-04-30,-0.007492749723348418,0.01798845620062095,0.014782074111243104,0.015078035904014797,0.0624643749377106
1963-05-31,0.05346693177388029,-0.006381887432561924,-0.028774410119765708,-0.002278939216248411,-0.06030444197646464
1963-06-30,0.06707715440639672,0.0740072177564934,0.05721051142501221,0.0740072177564934,0.0740072177564934
1963-07-31,0.11886556016505778,0.11886556016505778,0.08833317090995059,0.11886556016505778,0.14127704155521711
1963-08-31,-0.04636256462460575,-0.04636256462460575,-0.052409245947167594,-0.055507572437918595,-0.055507572437918595
1963-09-30,0.10851135891003931,0.10851135891003931,0.12437540668181053,0.12437540668181053,0.12437540668181053
1963-10-31,-0.0030708376254488337,-0.0030708376254488337,0.009676800887655398,-0.0030708376254488337,-0.005052811771328473
1963-11-30,0.04324561830043235,0.008181188868851516,0.055812161287659943,0.053100287015681924,0.053100287015681924
1963-12-31,-0.025140945324089475,-0.021144436828873948,0.016688275725973728,-0.006148358246557545,-0.006148358246557545
1964-01-31,0.025269104403619586,0.016734543432059157,0.03563657340665305,0.0037575351777154875,0.015145107465500315
1964-02-29,0.02905098234577756,0.06092932823283729,0.04187053290865106,0.029403440712134448,0.03623085681216135
1964-03-31,0.009577012813787719,0.013083491617371434,-0.01659864025966573,0.025020390993748125,0.025020390993748125
1964-04-30,0.07691304088836211,0.07691304088836211,0.052809267888828525,0.06286354890436495,0.06389003539848391
1964-05-31,0.0006922326736342003,0.01736692493434683,-0.03135459694549577,0.023284824069746326,0.023284824069746326
1964-06-30,0.003943483341290725,-0.023393453384094192,-0.003093578405360583,-0.003093578405360583,-0.023393453384094192
1964-07-31,0.008249955051668456,-0.015018664841282059,-0.015018664841282059,0.014960817559588798,0.008249955051668456
1964-08-31,0.10144445823782682,0.12770410682708752,0.09946778250643917,0.07320813391717847,0.14506402081438527
1964-09-30,-0.07979478516175893,-0.08564355236049055,0.001827508683887813,-0.051526135225450874,-0.051526135225450874
1964-10-31,-0.03750160854133858,-0.03750160854133858,-0.024152684540978187,0.014045437626995652,-0.03750160854133858
1964-11-30,0.02568269853476864,0.029754185693767938,0.034755433635525725,0.029754185693767938,0.029754185693767938
1964-12-31,0.023581921733497196,0.023581921733497196,0.03443028543158533,0.035822788735535904,0.004248382410366773
1965-01-31,0.014719851537782583,0.014719851537782583,0.021063218471828755,0.019316238069175967,0.02645599407127504
1965-02-28,-0.04353365289119241,-0.03280341764252154,-0.03495688313669796,-0.022623833515191316,-0.01975259843754094
1965-03-31,0.11961513901297675,0.054197820810476006,0.06846754690808265,0.03619891129423447,0.059796635623965276
1965-04-30,0.0041940363784415055,0.05237804312487005,0.06723849826965093,0.04653017796817919,0.04653017796817919
1965-05-31,-0.06705978668507369,-0.04476209472242498,-0.046960019763440185,-0.04756657935421001,-0.04756657935421001
1965-06-30,0.07237113899856447,0.11503639931555881,0.11811686586257329,0.11503639931555881,0.11503639931555881
1965-07-31,0.048365000707959425,0.07723528575717319,0.06091529877203227,0.07723528575717319,0.04765261476164006
1965-08-31,0.06636882133790338,0.0906280066222745,0.06636882133790338,0.06636882133790338,0.06636882133790338
1965-09-30,0.0573449816572551,0.08354807891904141,0.06785517191194597,0.1482932428432452,0.1482932428432452
1965-10-31,0.12174683891629685,0.12208511298058489,0.12208511298058489,0.14608455957203495,0.14290143364458455
1965-11-30,-0.005653049628854712,-0.059449935022951816,-0.0038340799515621526,-0.0260415912645983,-0.005653049628854712
1965-12-31,0.16357063018341444,0.15763820749485943,0.1560080278237437,0.1560080278237437,0.16357063018341444
1966-01-31,0.03623397408632741,0.004246101995142045,0.004246101995142045,0.03623397408632741,0.03623397408632741
1966-02-28,0.03902007598455955,0.019901612573152816,0.03902007598455955,0.03902007598455955,0.03902007598455955
1966-03-31,0.009029768922141837,0.01866344911249033,0.009029768922141837,0.026189028451274392,0.03327187638853912
1966-04-30,-0.0963476507536073,-0.0963476507536073,-0.08333379932943419,-0.08333379932943419,-0.08333379932943419
1966-05-31,-0.031845925177297583,-0.04567262360945521,-0.04567262360945521,-0.04567262360945521,-0.04567262360945521
1966-06-30,-0.07989834858328006,0.004723492233938563,0.057080715719742194,0.04177223070537783,-0.002215537763996786
1966-07-31,-0.12937439417120444,-0.12724796428353768,-0.10270329082377039,-0.07106655689869239,-0.07106655689869239
1966-08-31,-0.13031077240351577,0.0010368757566361724,0.031361720839748086,0.0009822304311243313,0.0009822304311243313
1966-09-30,-0.03664999767528591,0.006612319833804244,0.054208085795852345,0.054208085795852345,0.017322121561099652
1966-10-31,0.08679786447016997,-0.0028460885822381523,-0.0028460885822381523,-0.006286390597549836,-0.0028460885822381523
1966-11-30,0.03493883617513849,0.035259655793189536,0.035259655793189536,0.07612082343083133,0.05372268377912332
1966-12-31,0.0927874314664306,0.07410892003758247,0.11423145769028238,0.07010998744133468,0.0761519390214594
1967-01-31,0.01750392435033263,0.010267385434645523,0.016746573953052384,0.028929025941118736,0.028929025941118736
1967-02-28,0.06343268166299725,0.03567005812901858,0.10199197710891456,0.052485074000503396,0.07433210546529828
1967-03-31,0.0708569783898877,0.09791842089761109,0.09736998995719603,0.09736998995719603,0.09369910831625838
1967-04-30,-0.03301179530973745,-0.04292184089213406,-0.041542467579776386,-0.03750765155088461,-0.041542467579776386
1967-05-31,0.07015234019041376,0.0665912392885113,0.08726920026933072,0.0843902520954823,0.06676809179422542
1967-06-30,-0.0076003786478755775,-0.020234490505310815,0.035639520121862556,0.035639520121862556,0.035639520121862556
1967-07-31,0.0009223607572118875,-0.08150060146079449,-0.07899922619474532,-0.08150060146079449,-0.07000014921715181
1967-08-31,0.018984930465767144,0.018984930465767144,0.01123212919125203,0.05814372309722091,0.018984930465767144
1967-09-30,0.06738365198309441,0.03999769383985582,0.046785501541046846,0.04880169960179911,0.07375151865603147
1967-10-31,0.05118872458786997,0.004884265463348673,0.003328505439510576,0.06556492177195102,0.06556492177195102
1967-11-30,-0.03426471004331866,0.013784988440268653,0.013784988440268653,0.013784988440268653,0.013784988440268653
1967-12-31,-0.06672758964666203,-0.06001972012860973,-0.04234619289549543,-0.048855514078875145,-0.048855514078875145
1968-01-31,-0.03841686247883377,-0.012027035200672201,-0.012027035200672201,-0.06070518190680927,-0.06070518190680927
1968-02-29,0.07203184037348646,0.02235909170943842,0.022918366983886346,0.022918366983886346,0.022918366983886346
1968-03-31,0.16910449500244118,0.15079838268631507,0.0707612451035972,0.15079838268631507,0.14269541246546283
1968-04-30,-0.10681475525459765,-0.11940249368347156,-0.005989866727703741,-0.11940249368347156,-0.09113561313845404
1968-05-31,-0.030021192374346334,-0.014273778060723049,-0.040986775157761585,-0.05271816545851915,-0.05271816545851915
1968-06-30,-0.011177185345587204,-0.00350396616199547,-0.04581039966600747,-0.011838743818725156,-0.011838743818725156
1968-07-31,-0.021712966238679347,0.005454962533538405,0.06519181229815642,0.03367280901248003,0.03367280901248003
1968-08-31,0.039757739920683266,0.08662018986003625,0.036197613338404794,0.020346242723474794,0.020346242723474794
1968-09-30,-0.017974037858585586,0.05314853942659403,0.022968667681845096,-0.01407487023028516,0.04015412812751188
1968-10-31,0.05288652197275798,0.02841349480864356,0.04914120214447765,0.03413892848458591,0.03413892848458591
1968-11-30,-0.008145434491227316,-0.008145434491227316,-0.01583481125141112,-0.03321671384772615,-0.020817645316034084
1968-12-31,-0.001089428732888198,-0.010464161034362152,-0.030798981195597746,-0.00798639747628499,0.0013883348251889638
1969-01-31,-0.04697060260256283,-0.05857311565370768,-0.05767144081407616,-0.040482193441664094,-0.0398841602787357
1969-02-28,0.08538168812187075,0.06888998870416718,0.011273634515726577,0.06731114645683695,0.06731114645683695
1969-03-31,0.03511106367160402,0.021676376487287624,0.03888636427394132,0.004320056336107825,0.021676376487287624
1969-04-30,-0.02903998726243387,-0.0038753444178518115,-0.0038753444178518115,-0.015638657535655437,-0.036266953179096284
1969-05-31,-0.059829377199075356,-0.1572915252868002,-0.026774741437394594,-0.16735320158963488,-0.17540550475996972
